Territory	sizes	female_visit

1.	3.78	1
2.	3.69	1
3.	4.88	1
4.	4.77	1
5.	4.87	1
6.	3.16	1
7.	5.42	1
8.	4.81	1
9.	4.14	1
10.	4.95	1
11.	4.16	-1
12.	4.70	1
13.	5.69	1
14.	3.71	1
15.	3.50	1
16.	4.63	1
17.	5.63	1
18.	4.81	1
19.	4.02	1
20.	5.52	1
21.	1.70	1
22.	3.90	1
23.	1.90	1
24.	4.89	1
25.	3.43	1
26.	5.23	1
27.	6.05	1
28.	2.21	0
29.	6.13	1
30.	6.13	-1
31.	2.64	1
32.	3.23	0
33.	5.39	1
34.	4.96	1
35.	5.06	1
36.	4.97	1
37.	4.53	1
38.	4.39	1
39.	4.22	-1
40.	4.55	1
41.	5.28	1
42.	5.08	1
43.	2.26	-1
44.	5.51	1
45.	2.07	1
46.	2.51	1
47.	4.71	1
48.	4.29	1
49.	5.72	1
50.	3.62	1
51.	3.70	1
52.	3.79	1
53.	4.12	1
54.	4.79	1
55.	4.92	1
56.	2.58	0
57.	1.70	-1
58.	2.58	1
59.	4.41	1
60.	3.73	0
61.	4.27	1
62.	3.57	1
63.	3.70	-1
64.	4.76	0
65.	3.99	1
66.	2.36	1
67.	1.74	0
68.	0.59	1
69.	4.31	0
70.	4.57	1
71.	4.05	0
72.	4.75	1
73.	4.66	0
74.	3.25	0
75.	4.85	1
76.	4.90	0
77.	5.27	1
78.	2.52	0
79.	4.75	0
80.	4.41	0
81.	4.98	1
82.	3.25	0
83.	4.57	0
84.	3.27	0
85.	3.58	1
86.	4.04	0
87.	3.67	0
88.	4.16	0
89.	6.07	0
90.	2.87	0
91.	2.44	1
92.	4.34	0
93.	3.25	1
94.	2.86	0
95.	4.14	-1
96.	3.57	-1
97.	3.34	-1
98.	3.80	-1
99.	4.04	-1
100.	4.71	1
101.	5.08	1
102.	3.99	1
103.	3.45	-1
104.	2.10	-1
105.	2.44	-1
106.	2.92	-1
107.	5.27	-1
108.	4.70	-1
109.	2.99	-1
110.	3.15	-1
111.	2.92	0
112.	4.28	-1
113.	4.00	-1
114.	2.43	0
115.	3.59	0
116.	2.73	-1
117.	2.01	-1
118.	2.93	-1
119.	2.93	-1
120.	2.61	-1
121.	1.67	-1
122.	2.00	-1
123.	1.77	-1
124.	2.57	-1
125.	2.33	-1
126.	2.81	-1
127.	3.13	-1
128.	3.76	-1
129.	2.56	-1
130.	4.34	-1
131.	2.74	-1
132.	2.03	-1
133.	3.16	-1
134.	2.50	-1
135.	2.41	-1
136.	2.43	-1
137.	4.37	-1
138.	3.20	0
139.	3.04	-1
140.	2.89	-1
141.	2.35	-1
142.	2.11	-1
143.	1.99	0
144.	1.76	0
145.	1.45	0
146.	3.62	-1
147.	4.33	-1
148.	2.49	-1
149.	3.83	-1
150.	2.23	-1
151.	2.29	-1
152.	2.63	-1
153.	3.21	-1
154.	2.99	-1
155.	5.75	-1
156.	4.17	-1
157.	1.76	-1
158.	1.79	-1
159.	5.58	-1
160.	3.42	-1
161.	3.82	-1
162.	2.02	-1
163.	2.68	-1
164.	2.15	-1
165.	3.05	-1
166.	1.67	-1
167.	2.06	-1
168.	2.06	-1
169.	1.59	-1
170.	3.34	-1
171.	3.55	-1
172.	1.62	-1
173.	2.96	-1
174.	2.96	-1
175.	2.85	-1
